landlord,building_name,address,description,space_type,floor_suite,size_sqft,rent,contact_role,contact_name,contact_email,contact_phone,source_url,scraped_at
GFP Real Estate,1540 Broadway,1540 Broadway,"Rising 44 floors above Midtown Manhattan, 1540 Broadway offers 900,000 square feet of premium office space reimagined for today's businesses. A $150 million capital program has transformed the building from the ground up — delivering a redesigned lobby, new elevators, and a suite of hospitality-inspired amenities that draw on the warmth of luxury residential design, with natural materials, rich tones, and spaces purpose-built for collaboration and culture. Tenants benefit from light-filled, flexible floor plates alongside an on-site bar, fine dining, grab-and-go dining, and outdoor terrace space — an elevated work environment well beyond the typical Midtown offering. With Fortune 500 neighbors including NewsCorp, Salesforce, and Microsoft, and some of the city's best transit connections just steps away, 1540 Broadway positions businesses at the center of New York's commercial, cultural, and creative life.",Office,Floor 28,27938,Upon request,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/1540-broadway,2026-07-20T21:41:48+00:00
GFP Real Estate,1540 Broadway,1540 Broadway,"Rising 44 floors above Midtown Manhattan, 1540 Broadway offers 900,000 square feet of premium office space reimagined for today's businesses. A $150 million capital program has transformed the building from the ground up — delivering a redesigned lobby, new elevators, and a suite of hospitality-inspired amenities that draw on the warmth of luxury residential design, with natural materials, rich tones, and spaces purpose-built for collaboration and culture. Tenants benefit from light-filled, flexible floor plates alongside an on-site bar, fine dining, grab-and-go dining, and outdoor terrace space — an elevated work environment well beyond the typical Midtown offering. With Fortune 500 neighbors including NewsCorp, Salesforce, and Microsoft, and some of the city's best transit connections just steps away, 1540 Broadway positions businesses at the center of New York's commercial, cultural, and creative life.",Office,Floor 27,27938,Upon request,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/1540-broadway,2026-07-20T21:41:48+00:00
GFP Real Estate,1540 Broadway,1540 Broadway,"Rising 44 floors above Midtown Manhattan, 1540 Broadway offers 900,000 square feet of premium office space reimagined for today's businesses. A $150 million capital program has transformed the building from the ground up — delivering a redesigned lobby, new elevators, and a suite of hospitality-inspired amenities that draw on the warmth of luxury residential design, with natural materials, rich tones, and spaces purpose-built for collaboration and culture. Tenants benefit from light-filled, flexible floor plates alongside an on-site bar, fine dining, grab-and-go dining, and outdoor terrace space — an elevated work environment well beyond the typical Midtown offering. With Fortune 500 neighbors including NewsCorp, Salesforce, and Microsoft, and some of the city's best transit connections just steps away, 1540 Broadway positions businesses at the center of New York's commercial, cultural, and creative life.",Office,Floor 26,26942,Upon request,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/1540-broadway,2026-07-20T21:41:48+00:00
GFP Real Estate,1540 Broadway,1540 Broadway,"Rising 44 floors above Midtown Manhattan, 1540 Broadway offers 900,000 square feet of premium office space reimagined for today's businesses. A $150 million capital program has transformed the building from the ground up — delivering a redesigned lobby, new elevators, and a suite of hospitality-inspired amenities that draw on the warmth of luxury residential design, with natural materials, rich tones, and spaces purpose-built for collaboration and culture. Tenants benefit from light-filled, flexible floor plates alongside an on-site bar, fine dining, grab-and-go dining, and outdoor terrace space — an elevated work environment well beyond the typical Midtown offering. With Fortune 500 neighbors including NewsCorp, Salesforce, and Microsoft, and some of the city's best transit connections just steps away, 1540 Broadway positions businesses at the center of New York's commercial, cultural, and creative life.",Office,Floor 14,27249,Upon request,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/1540-broadway,2026-07-20T21:41:48+00:00
GFP Real Estate,1540 Broadway,1540 Broadway,"Rising 44 floors above Midtown Manhattan, 1540 Broadway offers 900,000 square feet of premium office space reimagined for today's businesses. A $150 million capital program has transformed the building from the ground up — delivering a redesigned lobby, new elevators, and a suite of hospitality-inspired amenities that draw on the warmth of luxury residential design, with natural materials, rich tones, and spaces purpose-built for collaboration and culture. Tenants benefit from light-filled, flexible floor plates alongside an on-site bar, fine dining, grab-and-go dining, and outdoor terrace space — an elevated work environment well beyond the typical Midtown offering. With Fortune 500 neighbors including NewsCorp, Salesforce, and Microsoft, and some of the city's best transit connections just steps away, 1540 Broadway positions businesses at the center of New York's commercial, cultural, and creative life.",Office,Floor 12,27249,Upon request,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/1540-broadway,2026-07-20T21:41:48+00:00
GFP Real Estate,1540 Broadway,1540 Broadway,"Rising 44 floors above Midtown Manhattan, 1540 Broadway offers 900,000 square feet of premium office space reimagined for today's businesses. A $150 million capital program has transformed the building from the ground up — delivering a redesigned lobby, new elevators, and a suite of hospitality-inspired amenities that draw on the warmth of luxury residential design, with natural materials, rich tones, and spaces purpose-built for collaboration and culture. Tenants benefit from light-filled, flexible floor plates alongside an on-site bar, fine dining, grab-and-go dining, and outdoor terrace space — an elevated work environment well beyond the typical Midtown offering. With Fortune 500 neighbors including NewsCorp, Salesforce, and Microsoft, and some of the city's best transit connections just steps away, 1540 Broadway positions businesses at the center of New York's commercial, cultural, and creative life.",Office,Floor 11,27266,Upon request,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/1540-broadway,2026-07-20T21:41:48+00:00
GFP Real Estate,1540 Broadway,1540 Broadway,"Rising 44 floors above Midtown Manhattan, 1540 Broadway offers 900,000 square feet of premium office space reimagined for today's businesses. A $150 million capital program has transformed the building from the ground up — delivering a redesigned lobby, new elevators, and a suite of hospitality-inspired amenities that draw on the warmth of luxury residential design, with natural materials, rich tones, and spaces purpose-built for collaboration and culture. Tenants benefit from light-filled, flexible floor plates alongside an on-site bar, fine dining, grab-and-go dining, and outdoor terrace space — an elevated work environment well beyond the typical Midtown offering. With Fortune 500 neighbors including NewsCorp, Salesforce, and Microsoft, and some of the city's best transit connections just steps away, 1540 Broadway positions businesses at the center of New York's commercial, cultural, and creative life.",Office,Floor 9,26583,Upon request,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/1540-broadway,2026-07-20T21:41:48+00:00
GFP Real Estate,505 Eighth Avenue,505 Eighth Avenue,"505 Eighth Avenue, originally known as the Hoover Building, was built in 1926 by the architect Chester James Storm. At 25 stories high and 292,000 square feet, the building features a modernized lobby that is attended 24/7 and offers keycard access for convenient and secure access at all hours of the day. On the ground floor of the building, one can dine or grab drinks at the Tailor Public House & Kitchen or at one of the various different eateries and lounges the area has to offer. Situated on the Northwest corner of Eighth Avenue and 35th Street, 505 is located only one block away from one of Manhattan's major transportation hubs, Penn Station, with links to the A, C, E, 1, 2, 3 subway lines, NJ Transit Trains, LIRR, and the Amtrak regional train. Additionally, only a few blocks away are links to the B, D, F, M, N, Q, R, W subway lines which compliment the already easy commute to and from the building.",Office,P 21st Floor - 2100,4102,$40.00 PSF,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/505-eighth-avenue,2026-07-20T21:41:50+00:00
GFP Real Estate,505 Eighth Avenue,505 Eighth Avenue,"505 Eighth Avenue, originally known as the Hoover Building, was built in 1926 by the architect Chester James Storm. At 25 stories high and 292,000 square feet, the building features a modernized lobby that is attended 24/7 and offers keycard access for convenient and secure access at all hours of the day. On the ground floor of the building, one can dine or grab drinks at the Tailor Public House & Kitchen or at one of the various different eateries and lounges the area has to offer. Situated on the Northwest corner of Eighth Avenue and 35th Street, 505 is located only one block away from one of Manhattan's major transportation hubs, Penn Station, with links to the A, C, E, 1, 2, 3 subway lines, NJ Transit Trains, LIRR, and the Amtrak regional train. Additionally, only a few blocks away are links to the B, D, F, M, N, Q, R, W subway lines which compliment the already easy commute to and from the building.",Office,P 13th Floor - 12A-03,2250,$39.00 PSF,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/505-eighth-avenue,2026-07-20T21:41:50+00:00
GFP Real Estate,505 Eighth Avenue,505 Eighth Avenue,"505 Eighth Avenue, originally known as the Hoover Building, was built in 1926 by the architect Chester James Storm. At 25 stories high and 292,000 square feet, the building features a modernized lobby that is attended 24/7 and offers keycard access for convenient and secure access at all hours of the day. On the ground floor of the building, one can dine or grab drinks at the Tailor Public House & Kitchen or at one of the various different eateries and lounges the area has to offer. Situated on the Northwest corner of Eighth Avenue and 35th Street, 505 is located only one block away from one of Manhattan's major transportation hubs, Penn Station, with links to the A, C, E, 1, 2, 3 subway lines, NJ Transit Trains, LIRR, and the Amtrak regional train. Additionally, only a few blocks away are links to the B, D, F, M, N, Q, R, W subway lines which compliment the already easy commute to and from the building.",Office,P 13th Floor - 12A-02,750,$39.00 PSF,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/505-eighth-avenue,2026-07-20T21:41:50+00:00
GFP Real Estate,505 Eighth Avenue,505 Eighth Avenue,"505 Eighth Avenue, originally known as the Hoover Building, was built in 1926 by the architect Chester James Storm. At 25 stories high and 292,000 square feet, the building features a modernized lobby that is attended 24/7 and offers keycard access for convenient and secure access at all hours of the day. On the ground floor of the building, one can dine or grab drinks at the Tailor Public House & Kitchen or at one of the various different eateries and lounges the area has to offer. Situated on the Northwest corner of Eighth Avenue and 35th Street, 505 is located only one block away from one of Manhattan's major transportation hubs, Penn Station, with links to the A, C, E, 1, 2, 3 subway lines, NJ Transit Trains, LIRR, and the Amtrak regional train. Additionally, only a few blocks away are links to the B, D, F, M, N, Q, R, W subway lines which compliment the already easy commute to and from the building.",Office,P 8th Floor - 805,1477,$39.00 PSF,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/505-eighth-avenue,2026-07-20T21:41:50+00:00
GFP Real Estate,505 Eighth Avenue,505 Eighth Avenue,"505 Eighth Avenue, originally known as the Hoover Building, was built in 1926 by the architect Chester James Storm. At 25 stories high and 292,000 square feet, the building features a modernized lobby that is attended 24/7 and offers keycard access for convenient and secure access at all hours of the day. On the ground floor of the building, one can dine or grab drinks at the Tailor Public House & Kitchen or at one of the various different eateries and lounges the area has to offer. Situated on the Northwest corner of Eighth Avenue and 35th Street, 505 is located only one block away from one of Manhattan's major transportation hubs, Penn Station, with links to the A, C, E, 1, 2, 3 subway lines, NJ Transit Trains, LIRR, and the Amtrak regional train. Additionally, only a few blocks away are links to the B, D, F, M, N, Q, R, W subway lines which compliment the already easy commute to and from the building.",Office,P 12th Floor - 1202,1600,$40.00 PSF,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/505-eighth-avenue,2026-07-20T21:41:50+00:00
GFP Real Estate,505 Eighth Avenue,505 Eighth Avenue,"505 Eighth Avenue, originally known as the Hoover Building, was built in 1926 by the architect Chester James Storm. At 25 stories high and 292,000 square feet, the building features a modernized lobby that is attended 24/7 and offers keycard access for convenient and secure access at all hours of the day. On the ground floor of the building, one can dine or grab drinks at the Tailor Public House & Kitchen or at one of the various different eateries and lounges the area has to offer. Situated on the Northwest corner of Eighth Avenue and 35th Street, 505 is located only one block away from one of Manhattan's major transportation hubs, Penn Station, with links to the A, C, E, 1, 2, 3 subway lines, NJ Transit Trains, LIRR, and the Amtrak regional train. Additionally, only a few blocks away are links to the B, D, F, M, N, Q, R, W subway lines which compliment the already easy commute to and from the building.",Office,P 11th Floor - 1101,2500,$39.00 PSF,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/505-eighth-avenue,2026-07-20T21:41:50+00:00
GFP Real Estate,505 Eighth Avenue,505 Eighth Avenue,"505 Eighth Avenue, originally known as the Hoover Building, was built in 1926 by the architect Chester James Storm. At 25 stories high and 292,000 square feet, the building features a modernized lobby that is attended 24/7 and offers keycard access for convenient and secure access at all hours of the day. On the ground floor of the building, one can dine or grab drinks at the Tailor Public House & Kitchen or at one of the various different eateries and lounges the area has to offer. Situated on the Northwest corner of Eighth Avenue and 35th Street, 505 is located only one block away from one of Manhattan's major transportation hubs, Penn Station, with links to the A, C, E, 1, 2, 3 subway lines, NJ Transit Trains, LIRR, and the Amtrak regional train. Additionally, only a few blocks away are links to the B, D, F, M, N, Q, R, W subway lines which compliment the already easy commute to and from the building.",Office,P 10th Floor - 1003,5009,$39.00 PSF,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/505-eighth-avenue,2026-07-20T21:41:50+00:00
GFP Real Estate,505 Eighth Avenue,505 Eighth Avenue,"505 Eighth Avenue, originally known as the Hoover Building, was built in 1926 by the architect Chester James Storm. At 25 stories high and 292,000 square feet, the building features a modernized lobby that is attended 24/7 and offers keycard access for convenient and secure access at all hours of the day. On the ground floor of the building, one can dine or grab drinks at the Tailor Public House & Kitchen or at one of the various different eateries and lounges the area has to offer. Situated on the Northwest corner of Eighth Avenue and 35th Street, 505 is located only one block away from one of Manhattan's major transportation hubs, Penn Station, with links to the A, C, E, 1, 2, 3 subway lines, NJ Transit Trains, LIRR, and the Amtrak regional train. Additionally, only a few blocks away are links to the B, D, F, M, N, Q, R, W subway lines which compliment the already easy commute to and from the building.",Office,P 21st Floor - 2101,5350,$40.00 PSF,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/505-eighth-avenue,2026-07-20T21:41:50+00:00
GFP Real Estate,505 Eighth Avenue,505 Eighth Avenue,"505 Eighth Avenue, originally known as the Hoover Building, was built in 1926 by the architect Chester James Storm. At 25 stories high and 292,000 square feet, the building features a modernized lobby that is attended 24/7 and offers keycard access for convenient and secure access at all hours of the day. On the ground floor of the building, one can dine or grab drinks at the Tailor Public House & Kitchen or at one of the various different eateries and lounges the area has to offer. Situated on the Northwest corner of Eighth Avenue and 35th Street, 505 is located only one block away from one of Manhattan's major transportation hubs, Penn Station, with links to the A, C, E, 1, 2, 3 subway lines, NJ Transit Trains, LIRR, and the Amtrak regional train. Additionally, only a few blocks away are links to the B, D, F, M, N, Q, R, W subway lines which compliment the already easy commute to and from the building.",Office,P 17th Floor - 1700,6025,$40.00 PSF,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/505-eighth-avenue,2026-07-20T21:41:50+00:00
GFP Real Estate,505 Eighth Avenue,505 Eighth Avenue,"505 Eighth Avenue, originally known as the Hoover Building, was built in 1926 by the architect Chester James Storm. At 25 stories high and 292,000 square feet, the building features a modernized lobby that is attended 24/7 and offers keycard access for convenient and secure access at all hours of the day. On the ground floor of the building, one can dine or grab drinks at the Tailor Public House & Kitchen or at one of the various different eateries and lounges the area has to offer. Situated on the Northwest corner of Eighth Avenue and 35th Street, 505 is located only one block away from one of Manhattan's major transportation hubs, Penn Station, with links to the A, C, E, 1, 2, 3 subway lines, NJ Transit Trains, LIRR, and the Amtrak regional train. Additionally, only a few blocks away are links to the B, D, F, M, N, Q, R, W subway lines which compliment the already easy commute to and from the building.",Office,P 6th Floor - 604,1950,$39.00 PSF,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/505-eighth-avenue,2026-07-20T21:41:50+00:00
GFP Real Estate,505 Eighth Avenue,505 Eighth Avenue,"505 Eighth Avenue, originally known as the Hoover Building, was built in 1926 by the architect Chester James Storm. At 25 stories high and 292,000 square feet, the building features a modernized lobby that is attended 24/7 and offers keycard access for convenient and secure access at all hours of the day. On the ground floor of the building, one can dine or grab drinks at the Tailor Public House & Kitchen or at one of the various different eateries and lounges the area has to offer. Situated on the Northwest corner of Eighth Avenue and 35th Street, 505 is located only one block away from one of Manhattan's major transportation hubs, Penn Station, with links to the A, C, E, 1, 2, 3 subway lines, NJ Transit Trains, LIRR, and the Amtrak regional train. Additionally, only a few blocks away are links to the B, D, F, M, N, Q, R, W subway lines which compliment the already easy commute to and from the building.",Office,P 10th Floor - 1000,3200,$40.00 PSF,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/505-eighth-avenue,2026-07-20T21:41:50+00:00
GFP Real Estate,1560 Broadway - Actors’ Equity Building,1560 Broadway - Actors’ Equity Building,"1560 Broadway was built in 1925 and designed by the Bethlehem Engineering Corporation. It is a historic, 17-story building located in the heart of Times Square. Home to Actors’ Equity, 1560 Broadway underwent major redevelopment in 2014 and was connected to the neighboring landmarked I. Miller Building by architects Rosen Johnson. The ambitious project included the addition of a monumental new office entrance, a 100-foot-long fourth floor sky lobby served by shuttle elevators and providing direct dispatch elevators to the top floors, and the opening up of four contiguous floors of prime Times Square retail space, created by moving the original office entrance, to deliver significant street presence. Positioned at the center of the Theater District, 1560 Broadway is a landmark of commerce that now takes an even more prominent place in this always vibrant location, drawing people to world-renowned shows, major retailers and a multitude of eateries. Numerous subway lines at nearby 42nd St-Times Square, Rockefeller Center, 49th Street and Port Authority provide fast transportation links with all areas of Manhattan and beyond. Times Square Office Space New York The district surrounding the world’s most famous square is also the world’s most visited place and home to the city’s Broadway Theater District plus a host of global corporations. Filled with towers that climb high into the sky and are lit to take any visitor’s breath away, the district is what many think of when they think of Manhattan. The Square, named after the original New York Times Building on 42nd Street, is in fact two triangles formed at the intersection of Seventh Avenue and Broadway, stretching from 42nd Street to 47th Street. The building is a globally-recognized advertising location and site of the much-watched New Year’s Eve ball drop. Times Square is also a center of entertainment, including Times Square Studios where Good Morning America is produced, and MTV Studios, part of One Astor Plaza, also home to the Viacom headquarters and the Minskoff Theater. Corporate neighbors include Morgan Stanley, Ernst & Young and the New York Times. The area is filled with familiar chain restaurants and large-scale eateries, most popular being Carmine’s for family-style Italian and Churrascaria Plataforma for large groups after a taste of Brazil. However on side streets, smaller old-world icons and independent restaurants cater to the theater and after-work crowd, including Sardi’s on West 44th Street, the elegant Lantern’s Keep at The Iroquois Hotel and the hidden-away Bar Centrale above Joe Allen where you’re likely to spot a stage star. The area is served by the vast Times Square – 42nd Street transportation hub and offers service on 1, 2, 3, 7, A, C, E, N, Q, R, W and S trains, as well as access to interstate bus services at Port Authority Bus Terminal.",Office,P 7th Floor - 705,1485,Upon Request,Asset / Leasing Manager,Alan Steinberg,asteinberg@gfpre.com,(212) 560.3955,https://www.gfpre.com/properties/1560-broadway,2026-07-20T21:41:53+00:00
